date,bucket,count
07/20/12,800,119
07/20/12,900,123
07/20/12,1000,173
07/20/12,1100,226
07/20/12,1200,284
07/20/12,1300,257
07/20/12,1400,268
07/20/12,1500,244
07/20/12,1600,191
07/20/12,1700,204
07/20/12,1800,187
07/20/12,1900,177
07/20/12,2000,164
07/20/12,2100,125
07/20/12,2200,140
07/20/12,2300,109
07/20/12,2400,103
07/21/12,800,123
07/21/12,900,165
07/21/12,1000,237
07/21/12,1100,278
07/21/12,1200,338
07/21/12,1300,306
07/21/12,1400,316
07/21/12,1500,269
07/21/12,1600,271
07/21/12,1700,241
07/21/12,1800,188
07/21/12,1900,174
07/21/12,2000,158
07/21/12,2100,153
07/21/12,2200,132
07/22/12,900,154
07/22/12,1000,241
07/22/12,1100,246
07/22/12,1200,300
07/22/12,1300,305
07/22/12,1400,301
07/22/12,1500,292
07/22/12,1600,253
07/22/12,1700,251
07/22/12,1800,214
07/22/12,1900,189
07/22/12,2000,179
07/22/12,2100,159
07/22/12,2200,161
07/22/12,2300,144
07/22/12,2400,139
07/22/12,2500,132
07/22/12,2600,136
07/22/12,2800,105
07/23/12,800,120
07/23/12,900,156
07/23/12,1000,209
07/23/12,1100,267
07/23/12,1200,299
07/23/12,1300,316
07/23/12,1400,318
07/23/12,1500,307
07/23/12,1600,295
07/23/12,1700,273
07/23/12,1800,283
07/23/12,1900,229
07/23/12,2000,192
07/23/12,2100,193
07/23/12,2200,170
07/23/12,2300,164
07/23/12,2400,154
07/23/12,2500,138
07/23/12,2600,101
07/23/12,2700,115
07/23/12,2800,103
07/24/12,800,105
07/24/12,900,156
07/24/12,1000,220
07/24/12,1100,255
07/24/12,1200,308
07/24/12,1300,338
07/24/12,1400,318
07/24/12,1500,255
07/24/12,1600,278
07/24/12,1700,260
07/24/12,1800,235
07/24/12,1900,230
07/24/12,2000,185
07/24/12,2100,145
07/24/12,2200,147
07/24/12,2300,157
07/24/12,2400,109
07/25/12,800,104
07/25/12,900,191
07/25/12,1000,201
07/25/12,1100,238
07/25/12,1200,223
07/25/12,1300,229
07/25/12,1400,286
07/25/12,1500,256
07/25/12,1600,240
07/25/12,1700,233
07/25/12,1800,202
07/25/12,1900,180
07/25/12,2000,184
07/25/12,2100,161
07/25/12,2200,125
07/25/12,2300,110
07/25/12,2400,101
07/26/12,1300,132
07/26/12,1400,117
07/26/12,1500,124
07/26/12,1600,154
07/26/12,1700,167
07/26/12,1800,137
07/26/12,1900,169
07/26/12,2000,175
07/26/12,2100,168
07/26/12,2200,188
07/26/12,2300,137
07/26/12,2400,173
07/26/12,2500,164
07/26/12,2600,167
07/26/12,2700,115
07/26/12,2800,116
07/26/12,2900,118
07/26/12,3000,125
07/26/12,3200,104
